6,7,7
4,2,5
7,9,6
8,4,1
1,2,7
9,6,1
1,7,7
7,7,9
7,5,5
2,7,9
5,9,6
8,9,3
4,3,4
3,7,5
8,5,8
4,4,1
7,5,1
4,5,5
2,1,2
2,7,6
3,9,5
8,4,2
5,6,8
4,2,8
9,9,9
1,2,3
2,3,2
8,7,9
2,9,7
5,5,4
6,6,8
2,5,6
8,3,3
7,1,7
6,7,2
9,5,4
2,6,6
8,3,8
7,5,4
7,9,9
8,4,5
6,1,3
5,3,8
3,4,8
7,8,2
2,5,3
4,1,9
2,3,9
2,9,4
9,4,5
6,3,7
8,7,7
9,6,1
2,6,4
6,1,3
8,7,8
2,3,5
7,4,4
5,8,5
9,2,6
6,3,2
5,8,2
3,2,8
9,5,6
3,4,4
1,3,8
7,4,7
9,8,3
6,6,3
7,3,5
8,6,9
8,9,8
5,8,9
9,2,3
9,7,8
5,5,6
3,6,7
8,3,3
4,6,6
9,8,8
3,6,8
3,9,5
2,5,5
1,3,6
1,8,3
3,8,3
2,9,4
5,7,5
7,4,6
6,6,5
6,2,8
9,1,3
9,9,5
1,1,2
9,7,2
3,8,2
2,5,5
6,4,3
1,6,9
4,1,2
